Wall time,Step,Value,Smoothed value
1690895578,18,0.046535984,0.046535984
1690895578,24,0.045827083,0.046528895
1690895579,40,0.046547126,0.046529077
1690895579,42,0.046791576,0.046531702
1690895579,45,0.046192538,0.04652831
1690895579,56,0.0461105,0.046524132
1690895579,71,0.045941148,0.046518302
1690895579,74,0.046442159,0.046517541
1690895580,94,0.047374837,0.046526114
1690895580,106,0.045804292,0.046518896
1690895580,126,0.046312217,0.046516829
1690895581,155,0.047056086,0.046522221
1690895581,158,0.046733636,0.046524336
1690895581,167,0.046669383,0.046525786
1690895581,183,0.04697033,0.046530232
1690895581,185,0.046720617,0.046532135
1690895582,229,0.046047188,0.046527286
1690895582,234,0.045214955,0.046514163
1690895582,249,0.045113977,0.046500161
1690895582,255,0.046582136,0.046500981
1690895583,260,0.046072863,0.046496699
1690895583,267,0.046802588,0.046499758
1690895583,273,0.045979336,0.046494554
1690895583,308,0.046782698,0.046497435
1690895583,310,0.044917192,0.046481633
1690895584,318,0.044684194,0.046463659
1690895584,339,0.045572136,0.046454743
1690895584,347,0.045810614,0.046448302
1690895584,367,0.044944145,0.046433261
1690895585,421,0.044729762,0.046416226
1690895585,422,0.045124188,0.046403305
1690895586,439,0.046170488,0.046400977
1690895586,442,0.045060113,0.046387568
1690895586,445,0.044613972,0.046369832
1690895586,460,0.044880353,0.046354938
1690895586,463,0.045709763,0.046348486
1690895586,464,0.046627223,0.046351273
1690895586,474,0.045634866,0.046344109
1690895586,493,0.045762688,0.046338295
1690895587,514,0.044706948,0.046321981
1690895587,531,0.045727529,0.046316037
1690895587,536,0.045462906,0.046307506
1690895588,563,0.045177504,0.046296206
1690895588,573,0.044530809,0.046278552
1690895588,579,0.045723535,0.046273001
1690895588,586,0.045684915,0.046267121
1690895588,587,0.044406414,0.046248514
1690895589,620,0.044086017,0.046226889
1690895589,622,0.046164628,0.046226266
1690895589,634,0.045645278,0.046220456
1690895589,641,0.047333095,0.046231582
1690895589,642,0.045985393,0.046229121
1690895589,644,0.04647927,0.046231622
1690895589,647,0.046634875,0.046235655
1690895589,649,0.046107315,0.046234371
1690895589,661,0.045320183,0.046225229
1690895589,671,0.045566373,0.046218641
1690895590,714,0.043801971,0.046194474
1690895590,722,0.044585586,0.046178385
1690895590,730,0.045767732,0.046174279
1690895591,739,0.045444533,0.046166981
1690895591,752,0.045142502,0.046156736
1690895591,756,0.045275383,0.046147923
1690895591,765,0.046190087,0.046148345
1690895591,769,0.04481579,0.046135019
1690895591,771,0.044585951,0.046119528
1690895591,773,0.045249321,0.046110826
1690895591,780,0.047710452,0.046126822
1690895591,785,0.046019558,0.04612575
1690895591,787,0.045419876,0.046118691
1690895591,792,0.046180371,0.046119308
1690895592,794,0.045389265,0.046112007
1690895592,798,0.045033112,0.046101218
1690895592,802,0.044173859,0.046081945
1690895592,808,0.045964815,0.046080774
1690895592,809,0.046360895,0.046083575
1690895592,832,0.044330277,0.046066042
1690895592,836,0.045000702,0.046055388
1690895593,869,0.044235595,0.04603719
1690895593,876,0.045370787,0.046030526
1690895593,882,0.046851814,0.046038739
1690895593,896,0.044185013,0.046020202
1690895593,900,0.045627348,0.046016274
1690895593,907,0.046199828,0.046018109
1690895593,909,0.045211829,0.046010046
1690895594,917,0.04568037,0.04600675
1690895594,931,0.045913771,0.04600582
1690895594,932,0.044818636,0.045993948
1690895594,942,0.045241907,0.045986427
1690895594,945,0.044845324,0.045975016
1690895594,954,0.044153571,0.045956802
1690895594,962,0.045836881,0.045955603
1690895595,971,0.045861755,0.045954664
1690895595,972,0.043376312,0.045928881
1690895595,978,0.045329873,0.045922891
1690895595,979,0.045485057,0.045918512
1690895595,984,0.0452713,0.04591204
1690895595,1002,0.044923633,0.045902156
1690895595,1005,0.044778325,0.045890918
1690895595,1014,0.046268333,0.045894692
1690895596,1044,0.045712825,0.045892873
1690895596,1057,0.045675144,0.045890696
1690895596,1063,0.045014307,0.045881932
1690895596,1066,0.043774523,0.045860858
1690895596,1068,0.044316947,0.045845419
1690895596,1072,0.043500662,0.045821971
1690895596,1078,0.044885226,0.045812604
1690895596,1083,0.045278125,0.045807259
1690895597,1093,0.044438682,0.045793573
1690895597,1099,0.045843963,0.045794077
1690895597,1104,0.044755772,0.045783694
1690895597,1114,0.045630511,0.045782162
1690895598,1156,0.044730455,0.045771645
1690895598,1160,0.045912419,0.045773053
1690895598,1161,0.046071418,0.045776037
1690895598,1162,0.044517815,0.045763454
1690895598,1180,0.043849207,0.045744312
1690895598,1193,0.045445219,0.045741321
1690895599,1206,0.045864843,0.045742556
1690895599,1232,0.044399139,0.045729122
1690895599,1244,0.046865717,0.045740488
1690895599,1255,0.045367528,0.045736758
1690895600,1258,0.044448059,0.045723871
1690895600,1261,0.04474147,0.045714047
1690895600,1281,0.045784529,0.045714752
1690895600,1287,0.047022283,0.045727828
1690895600,1294,0.045316108,0.04572371
1690895600,1300,0.045024078,0.045716714
1690895601,1316,0.045418099,0.045713728
1690895601,1319,0.044491522,0.045701506
1690895601,1330,0.045300454,0.045697495
1690895601,1333,0.043930415,0.045679824
1690895601,1336,0.044544566,0.045668472
1690895601,1337,0.045451902,0.045666306
1690895602,1385,0.044996589,0.045659609
1690895602,1388,0.046414584,0.045667159
1690895602,1391,0.044913623,0.045659623
1690895602,1392,0.044737972,0.045650407
1690895602,1414,0.045405656,0.045647959
1690895602,1426,0.045484949,0.045646329
1690895603,1436,0.04456142,0.04563548
1690895603,1440,0.044355795,0.045622683
1690895603,1465,0.045696791,0.045623424
1690895603,1466,0.04761057,0.045643296
1690895603,1477,0.046219692,0.04564906
1690895603,1485,0.04589567,0.045651526
1690895603,1489,0.044326883,0.04563828
1690895603,1491,0.046328321,0.04564518
1690895604,1523,0.045726966,0.045645998
1690895604,1527,0.045300066,0.045642538
1690895604,1552,0.044817492,0.045634288
1690895605,1568,0.044779148,0.045625737
1690895605,1569,0.045929193,0.045628771
1690895605,1584,0.044394828,0.045616432
1690895605,1588,0.045008361,0.045610351
1690895605,1604,0.046069629,0.045614944
1690895605,1605,0.04414349,0.045600229
1690895606,1627,0.044589885,0.045590126
1690895606,1632,0.045227125,0.045586496
1690895606,1637,0.046989404,0.045600525
1690895606,1640,0.045263104,0.045597151
1690895606,1645,0.045325041,0.04559443
1690895606,1648,0.044298612,0.045581471
1690895606,1660,0.045269378,0.045578351
1690895606,1668,0.047630843,0.045598875
1690895607,1675,0.045900233,0.045601889
1690895607,1682,0.046069793,0.045606568
1690895607,1691,0.045270424,0.045603207
1690895607,1695,0.045171648,0.045598891
1690895607,1697,0.045332745,0.04559623
1690895607,1699,0.046443097,0.045604698
1690895607,1702,0.045480967,0.045603461
1690895607,1709,0.045242898,0.045599855
1690895607,1718,0.045328647,0.045597143
1690895607,1728,0.044136703,0.045582539
1690895608,1732,0.046114467,0.045587858
1690895608,1734,0.045147523,0.045583455
1690895608,1737,0.044594593,0.045573566
1690895608,1742,0.044787332,0.045565704
1690895608,1745,0.044476021,0.045554807
1690895608,1746,0.045524385,0.045554503
1690895608,1766,0.046118878,0.045560146
1690895608,1775,0.044315919,0.045547704
1690895608,1781,0.046035342,0.045552581
1690895608,1788,0.045467913,0.045551734
1690895608,1789,0.046694547,0.045563162
1690895609,1798,0.04658113,0.045573342
1690895609,1805,0.045350581,0.045571114
1690895609,1826,0.046740882,0.045582812
1690895609,1830,0.043614581,0.04556313
1690895609,1840,0.045424901,0.045561747
1690895609,1844,0.045099467,0.045557124
1690895610,1853,0.04516004,0.045553154
1690895610,1866,0.043752789,0.04553515
1690895610,1869,0.045153473,0.045531333
1690895610,1875,0.044472761,0.045520747
1690895610,1877,0.045253426,0.045518074
1690895611,1911,0.04493361,0.04551223
1690895611,1917,0.046493031,0.045522038
1690895611,1934,0.042362399,0.045490441
1690895611,1944,0.044899192,0.045484529
1690895611,1947,0.045574054,0.045485424
1690895611,1949,0.043834951,0.045468919
1690895612,1967,0.04551981,0.045469428
1690895612,1981,0.045208052,0.045466814
1690895612,1983,0.04455144,0.045457661
1690895612,2001,0.045323554,0.04545632
1690895612,2005,0.044776343,0.04544952
1690895612,2013,0.045229364,0.045447318
1690895613,2030,0.045172837,0.045444573
1690895613,2036,0.045348547,0.045443613
1690895613,2060,0.045538258,0.04544456
1690895613,2073,0.045973763,0.045449852
1690895613,2076,0.044394001,0.045439293
1690895613,2077,0.044565551,0.045430556
1690895613,2079,0.044133525,0.045417585
1690895613,2081,0.044891998,0.04541233
1690895614,2085,0.044216115,0.045400367
1690895614,2089,0.04705843,0.045416948
1690895614,2096,0.044067211,0.045403451
1690895614,2111,0.045640208,0.045405818
1690895615,2145,0.043875895,0.045390519
1690895615,2149,0.044655882,0.045383173
1690895615,2156,0.045120493,0.045380546
1690895615,2165,0.045377128,0.045380512
1690895615,2177,0.046020329,0.04538691
1690895615,2187,0.042481698,0.045357858
1690895615,2189,0.043756377,0.045341843
1690895615,2191,0.044202734,0.045330452
1690895615,2196,0.046242267,0.04533957
1690895615,2199,0.045218628,0.045338361
1690895616,2207,0.044576854,0.045330745
1690895616,2211,0.045513522,0.045332573
1690895616,2231,0.045787103,0.045337119
1690895616,2236,0.045941867,0.045343166
1690895616,2237,0.044462766,0.045334362
1690895616,2239,0.04487396,0.045329758
1690895616,2242,0.045717333,0.045333634
1690895616,2246,0.046052039,0.045340818
1690895616,2247,0.045137178,0.045338781
1690895616,2254,0.045210488,0.045337498
1690895617,2257,0.045023859,0.045334362
1690895617,2262,0.045704007,0.045338059
1690895617,2281,0.046573419,0.045350412
1690895617,2291,0.045713447,0.045354042
1690895617,2297,0.045572866,0.045356231
1690895617,2303,0.044787683,0.045350545
1690895617,2307,0.045267973,0.04534972
1690895618,2319,0.045440648,0.045350629
1690895618,2320,0.044516921,0.045342292
1690895618,2345,0.045187414,0.045340743
1690895618,2354,0.04356169,0.045322952
1690895619,2389,0.046457913,0.045334302
1690895619,2390,0.044706851,0.045328028
1690895619,2392,0.042789344,0.045302641
1690895620,2436,0.046656694,0.045316181
1690895620,2444,0.04538333,0.045316853
1690895620,2451,0.045812801,0.045321812
1690895620,2453,0.045691758,0.045325512
1690895620,2455,0.044754583,0.045319802
1690895620,2460,0.044886179,0.045315466
1690895620,2485,0.046145551,0.045323767
1690895620,2486,0.045268115,0.04532321
1690895621,2496,0.043783408,0.045307812
1690895621,2498,0.044501841,0.045299753
1690895621,2503,0.044494666,0.045291702
1690895621,2517,0.045350607,0.045292291
1690895621,2523,0.045123547,0.045290603
1690895621,2532,0.044850707,0.045286204
1690895622,2547,0.044447225,0.045277815
1690895622,2551,0.04695645,0.045294601
1690895622,2553,0.044422403,0.045285879
1690895622,2578,0.046262655,0.045295647
1690895622,2590,0.045513641,0.045297827
1690895622,2600,0.045798361,0.045302832
1690895623,2606,0.045369972,0.045303504
1690895623,2623,0.045249224,0.045302961
1690895623,2629,0.046027128,0.045310202
1690895623,2630,0.044947691,0.045306577
1690895623,2644,0.044968829,0.0453032
1690895623,2650,0.04598232,0.045309991
1690895623,2655,0.044562619,0.045302517
1690895624,2678,0.044578329,0.045295275
1690895624,2685,0.045843787,0.045300761
1690895624,2690,0.045469113,0.045302444
1690895624,2703,0.045312777,0.045302547
1690895624,2710,0.045771062,0.045307233
1690895624,2725,0.045680497,0.045310965
1690895625,2737,0.045934007,0.045317196
1690895625,2740,0.043740764,0.045301431
1690895625,2754,0.044733506,0.045295752
1690895626,2789,0.045217246,0.045294967
1690895626,2790,0.044669293,0.04528871
1690895626,2791,0.045579195,0.045291615
1690895626,2809,0.044815399,0.045286853
1690895626,2824,0.046498321,0.045298968
1690895627,2872,0.044696018,0.045292938
1690895627,2881,0.044942778,0.045289436
1690895627,2890,0.044121668,0.045277759
1690895628,2896,0.045697063,0.045281952
1690895628,2917,0.044168931,0.045270822
1690895628,2919,0.045824159,0.045276355
1690895628,2920,0.044914298,0.045272734
1690895629,2967,0.046190009,0.045281907
1690895629,2975,0.045551177,0.0452846
1690895629,2998,0.044146203,0.045273216
1690895629,3007,0.045401856,0.045274502
1690895629,3011,0.044352144,0.045265279
1690895629,3015,0.045273647,0.045265362
1690895630,3027,0.045625076,0.04526896
1690895630,3030,0.045701366,0.045273284
1690895630,3038,0.044953201,0.045270083
1690895630,3041,0.044654533,0.045263927
1690895630,3065,0.045748107,0.045268769
1690895630,3069,0.044089004,0.045256971
1690895630,3071,0.04398106,0.045244212
1690895632,3099,0.044869136,0.045240462
1690895632,3122,0.046071589,0.045248773
1690895632,3137,0.04517211,0.045248006
1690895633,3145,0.045004454,0.045245571
1690895633,3150,0.045582499,0.04524894
1690895633,3155,0.045421943,0.04525067
1690895633,3161,0.046073429,0.045258898
1690895633,3177,0.044953033,0.045255839
1690895633,3195,0.046904251,0.045272323
1690895633,3196,0.046379432,0.045283394
1690895633,3203,0.045381669,0.045284377
1690895634,3206,0.044506051,0.045276594
1690895634,3230,0.043550551,0.045259333
1690895634,3233,0.045042649,0.045257166
1690895634,3240,0.045905076,0.045263645
1690895634,3243,0.045583587,0.045266845
1690895634,3244,0.043950189,0.045253678
1690895634,3246,0.045686569,0.045258007
1690895634,3247,0.044710193,0.045252529
1690895635,3272,0.044477113,0.045244775
1690895635,3281,0.045842662,0.045250754
1690895635,3305,0.045691289,0.045255159
1690895635,3313,0.045045245,0.04525306
1690895636,3327,0.045318902,0.045253718
1690895636,3328,0.044924226,0.045250423
1690895636,3345,0.046699084,0.04526491
1690895636,3374,0.043990046,0.045252161
1690895636,3376,0.0454477,0.045254117
1690895637,3386,0.04511714,0.045252747
1690895637,3403,0.044964552,0.045249865
1690895637,3408,0.046176001,0.045259126
1690895637,3430,0.044796981,0.045254505
1690895637,3438,0.045390666,0.045255867
1690895638,3449,0.045945093,0.045262759
1690895638,3451,0.046083175,0.045270963
1690895638,3458,0.046278954,0.045281043
1690895638,3464,0.04367014,0.045264934
